INDEX,SID,DATAPAKID,RECORD,WM_LGNUM,OI_EBELN,OI_EBELP,WM_DOCNO,WM_ITEMNO,/BIC/GEWHUGUID,RECORDMODE,CALYEAR,CALMONTH,CALWEEK,CALDAY,WM_PRODNO,WM_HUIDENT,WM_DOCCAT,WM_DOCTYPE,WM_LGTYP,/BIC/GEWPWAGEN,/BIC/G0WM_TU_N,WM_TUSRACT,WM_LICNUM,WM_LGPLA,/BIC/GEWTSTP00,/BIC/GEWVBELN,/BIC/GEWTSTP10,/BIC/GEWSTAT10,/BIC/GEWTSTP20,/BIC/GEWSTAT20,/BIC/GEWTSTP30,/BIC/GEWSTAT30,/BIC/GEWTSTP40,/BIC/GEWSTAT40,/BIC/GEWTSTP45,/BIC/GEWSTAT45,/BIC/GEWTSTP50,/BIC/GEWSTAT50,/BIC/GEWTSTP60,/BIC/GEWSTAT60,/BIC/GEWTSTP65,/BIC/GEWSTAT65,/BIC/GEWTSTP70,/BIC/GEWSTAT70,/BIC/GEWTSTP75,/BIC/GEWSTAT75,/BIC/GEWTSTP80,/BIC/GEWSTAT80,/BIC/GEWTSTP90,/BIC/GEWSTAT90,/BIC/GEWTSTP95,/BIC/GEWSTAT95,/BIC/GEWSTAT15,/BIC/GEWSTAT99,/BIC/GEWSTATTL,/BIC/GEWLSTAT,WM_COUNT2,/BIC/GEW2030L,/BIC/GEW3040L,/BIC/GEW4045T,/BIC/GEW6565T,/BIC/GEW6575L,/BIC/GEW7080L,/BIC/GEW7575T,/BIC/GEW8090L,/BIC/GEW2080L,/BIC/GEWTST45L,/BIC/GEWTST65L,/BIC/GEWTST75L
1235,67417,1,1208,LOCM,5100044602,10,00000000000000000000000022000000613,10,AE2340D55A031ED5A4BB2FFE40C88198,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013939693,PDO,ZLE1,GFR,,000000200000000439,757,LKW4261416,WAENGPASS1,20160426085923,,20160426090145,1,20160426090146,3,20160426111957,1,20160426121722,1,20160426121725,3,20160426121725,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,8291,3445,13,0,0,0,0,0,0,20160426121725,0,0
1236,67417,1,1207,LOCM,5100044603,10,00000000000000000000000022000000713,10,AE2340D55A031EE5A3BA102D9F4D0F08,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013939426,PDO,ZLE1,GFR,,000000200000000439,757,LKW4261416,WAENGPASS1,20160426085929,,20160426090144,1,20160426090145,3,20160426112017,1,20160426121712,1,20160426121725,3,20160426121725,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,8312,3415,13,0,0,0,0,0,0,20160426121725,0,0
1237,67417,1,1212,LOCM,5100044605,10,00000000000000000000000022000000519,10,0A63B21C04021EE68094F1771EC108E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945893,PDO,ZLE1,GFR,,000000200000000440,759,LKW4261446,WAENGPASS1,20160426123804,,20160426123830,3,20160426123831,3,20160426124433,3,20160426124656,3,20160426124658,3,20160426124659,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,362,143,10,0,0,0,0,0,0,20160426124658,0,0
1238,67417,1,1211,LOCM,5100044605,10,00000000000000000000000022000000519,10,0A63B21C04021EE68094F1770DD708E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945892,PDO,ZLE1,GFR,,000000200000000440,759,LKW4261446,WAENGPASS1,20160426123804,,20160426123830,3,20160426123831,3,20160426124422,3,20160426124653,3,20160426124658,3,20160426124659,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,351,151,10,0,0,0,0,0,0,20160426124658,0,0
1239,67417,1,1210,LOCM,5100044604,10,00000000000000000000000022000000614,10,0A63B21C04021EE68094F176FAEDC8E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945891,PDO,ZLE1,GFR,,000000200000000440,759,LKW4261446,WAENGPASS1,20160426123803,,20160426123830,3,20160426123831,3,20160426124348,3,20160426124650,3,20160426124658,3,20160426124659,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,317,182,10,0,0,0,0,0,0,20160426124658,0,0
1240,67417,1,1209,LOCM,5100044604,10,00000000000000000000000022000000614,10,0A63B21C04021EE68094F176C4D788E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945890,PDO,ZLE1,GFR,,000000200000000440,759,LKW4261446,WAENGPASS1,20160426123803,,20160426123830,3,20160426123831,3,20160426124312,3,20160426124648,3,20160426124658,3,20160426124659,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,281,216,10,0,0,0,0,0,0,20160426124658,0,0
1241,67417,1,1215,LOCM,5100044608,10,00000000000000000000000022000000615,10,0A63B21C04021EE68094F1772DE908E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945894,PDO,ZLE1,GFR,,000000200000000441,771,LKW4261518,WAENGPASS1,20160426131411,,20160426131445,3,20160426131448,3,20160426131822,3,20160426131838,3,20160426131921,3,20160426131921,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,214,16,43,0,0,0,0,0,0,20160426131921,0,0
1242,67417,1,1214,LOCM,5100044606,10,00000000000000000000000022000000520,10,AE2340D55A031EE5A4BAFE65C92C4046,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013939691,PDO,ZLE1,GFR,,000000200000000441,771,LKW4261518,WAENGPASS1,20160426131410,,20160426131444,3,20160426131446,3,20160426131731,3,20160426131845,3,20160426131921,3,20160426131921,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,165,74,43,0,0,0,0,0,0,20160426131921,0,0
1243,67417,1,1213,LOCM,5100044607,10,00000000000000000000000022000000714,10,0A63B21C04021EE5A4BB98C50BEB8BBF,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013939596,PDO,ZLE1,GFR,,000000200000000441,771,LKW4261518,WAENGPASS1,20160426131411,,20160426131445,3,20160426131447,3,20160426131758,3,20160426131918,3,20160426131921,3,20160426131921,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,191,80,43,0,0,0,0,0,0,20160426131921,0,0
1244,67417,1,1218,LOCM,5100044611,10,00000000000000000000000022000000716,10,0A63B21C04021EE68094F1775CD308E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945897,PDO,ZLE1,GFR,,000000200000000442,773,LKW4261550,WAENGPASS1,20160426133705,,20160426133735,3,20160426133736,3,20160426134629,3,20160426135051,3,20160426135058,3,20160426135058,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,533,262,16,0,0,0,0,0,0,20160426135058,0,0
1245,67417,1,1217,LOCM,5100044609,10,00000000000000000000000022000000717,10,0A63B21C04021EE68094F1774E2D08E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945896,PDO,ZLE1,GFR,,000000200000000442,773,LKW4261550,WAENGPASS1,20160426133704,,20160426133735,3,20160426133737,3,20160426134544,3,20160426135047,3,20160426135058,3,20160426135058,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,487,303,16,0,0,0,0,0,0,20160426135058,0,0
1246,67417,1,1216,LOCM,5100044610,10,00000000000000000000000022000000715,10,0A63B21C04021EE68094F1773E6C88E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945895,PDO,ZLE1,GFR,,000000200000000442,773,LKW4261550,WAENGPASS1,20160426133705,,20160426133734,3,20160426133736,3,20160426134613,3,20160426135042,3,20160426135058,3,20160426135058,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,517,269,16,0,0,0,0,0,0,20160426135058,0,0
1247,67417,1,1219,LOCM,5100044620,10,00000000000000000000000021000001333,10,0A63B21C04021EE68094F17770AEC8E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945898,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134109,,20160426134338,1,20160426134339,3,20160426134852,3,20160426135155,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,313,183,40,0,0,0,0,0,0,20160426135157,0,0
1248,67417,1,1220,LOCM,5100044618,10,00000000000000000000000021000001128,10,0A63B21C04021EE68094F177900E08E8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013945899,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134108,,20160426134338,1,20160426134339,3,20160426134821,3,20160426135151,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,282,210,40,0,0,0,0,0,0,20160426135157,0,0
1249,67417,1,1221,LOCM,5100044615,10,00000000000000000000000021000001334,10,0A63B21C04021EE682F13F703423DDA8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946252,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134107,,20160426134338,1,20160426134340,3,20160426134736,3,20160426135142,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,236,246,40,0,0,0,0,0,0,20160426135157,0,0
1250,67417,1,1222,LOCM,5100044619,10,00000000000000000000000021000001234,10,0A63B21C04021EE682F13F7079D65DA8,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946253,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134108,,20160426134338,1,20160426134341,3,20160426134909,3,20160426135140,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,328,151,40,0,0,0,0,0,0,20160426135157,0,0
1251,67417,1,1223,LOCM,5100044614,10,00000000000000000000000021000001235,10,AE2340D55A031ED682F53AFD194C95CC,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946262,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134107,,20160426134339,1,20160426134341,3,20160426134806,3,20160426135134,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,265,208,40,0,0,0,0,0,0,20160426135157,0,0
1252,67417,1,1224,LOCM,5100044622,10,00000000000000000000000021000001132,10,AE2340D55A031ED682F53AFD463755CC,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946263,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134110,,20160426134339,1,20160426134341,3,20160426134937,3,20160426135131,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,356,114,40,0,0,0,0,0,0,20160426135157,0,0
1253,67417,1,1225,LOCM,5100044617,10,00000000000000000000000021000001129,10,AE2340D55A031ED682F53AFD53EC15CC,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946264,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134108,,20160426134339,1,20160426134341,3,20160426134837,3,20160426135128,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,296,171,40,0,0,0,0,0,0,20160426135157,0,0
1254,67417,1,1226,LOCM,5100044613,10,00000000000000000000000021000001336,10,0A63B21C04021ED682F67BF15C878F8A,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946274,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134107,,20160426134339,1,20160426134341,3,20160426134751,3,20160426135123,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,250,212,40,0,0,0,0,0,0,20160426135157,0,0
1255,67417,1,1227,LOCM,5100044621,10,00000000000000000000000021000001131,10,0A63B21C04021ED682F67BF18D5B8F8A,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946275,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134109,,20160426134339,1,20160426134341,3,20160426134923,3,20160426135119,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,342,116,40,0,0,0,0,0,0,20160426135157,0,0
1256,67417,1,1228,LOCM,5100044612,10,00000000000000000000000021000001335,10,0A63B21C04021ED682F67BF19B9ECF8A,,2016,201604,201617,2016-04-26,06E103023BB,00000000000013946276,PDO,ZLC1,GFR,,000000200000000443,775,LKW4261551,LMWALKWL03,20160426134106,,20160426134339,1,20160426134341,3,20160426134705,3,20160426135117,3,20160426135157,3,20160426135157,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,1,204,252,40,0,0,0,0,0,0,20160426135157,0,0
