
	     TANUM	TAPOS	VLTYP	VLENR	NLTYP	NLENR	       CONFIRMED_AT
	7000000010	 0008		00000000001000000134			20.151.201.205.109
	7000000010	 0009		00000000001000000136			20.151.201.205.109
	7000000010	 0010		00000000001000000138			20.151.201.205.109
	7000000010	 0011		00000000001000000142			20.151.201.205.109
	7000000011	 0001		00000000001000000125			20.151.201.210.449
	7000000011	 0002		00000000001000000127			20.151.201.210.449
	7000000011	 0003		00000000001000000135			20.151.201.210.449
	7000000011	 0004		00000000001000000139			20.151.201.210.449
	7000000011	 0005		00000000001000000141			20.151.201.210.449
	7000000012	 0001	LMWE	00000000000014260273			20.151.201.210.500
	7000000012	 0002	LMWE	00000000000014260274			20.151.201.210.500
	7000000012	 0003	LMWE	00000000000014260275			20.151.201.210.500
	7000000012	 0004	LMWE	00000000000014260276			20.151.201.210.500
	7000000012	 0005	LMWE	00000000000014260277			20.151.201.210.500
	7000000012	 0006	LMWE	00000000000014260278			20.151.201.210.500
	7000000012	 0007	LMWE	00000000000014260279			20.151.201.210.500
	7000000012	 0008	LMWE	00000000000014260280			20.151.201.210.500
	7000000012	 0009	LMWE	00000000000014260281			20.151.201.210.500
	7000000012	 0010	LMWE	00000000000014260282			20.151.201.210.500
	7000000012	 0011	LMWE	00000000000014260283			20.151.201.210.500
	7000000012	 0012	LMWE	00000000000014260284			20.151.201.210.500
	7000000012	 0013	LMWE	00000000000014260285			20.151.201.210.500
	7000000012	 0014	LMWE	00000000000014260286			20.151.201.210.500
	7000000012	 0015	LMWE	00000000000014260287			20.151.201.210.500
	7000000012	 0016	LMWE	00000000000014260288			20.151.201.210.500
	7000000012	 0017	LMWE	00000000000014260289			20.151.201.210.500
	7000000012	 0018	LMWE	00000000000014260290			20.151.201.210.500
	7000000012	 0019	LMWE	00000000000014260291			20.151.201.210.500
	7000000012	 0020	LMWE	00000000000014260292			20.151.201.210.500
	7000000012	 0021	LMWE	00000000000014260293			20.151.201.210.500
	7000000012	 0022	LMWE	00000000000014260294			20.151.201.210.500
	7000000012	 0023	LMWE	00000000000014260295			20.151.201.210.500
	7000000012	 0024	LMWE	00000000000014260296			20.151.201.210.500
	7000000012	 0025	LMWE	00000000000014260297			20.151.201.210.500
	7000000012	 0026	LMWE	00000000000014260298			20.151.201.210.500
	7000000012	 0027	LMWE	00000000000014260299			20.151.201.210.500
	7000000012	 0028	LMWE	00000000000014260300			20.151.201.210.500
	7000000012	 0029	LMWE	00000000000014260301			20.151.201.210.500
	7000000012	 0030	LMWE	00000000000014260302			20.151.201.210.500
	7000000012	 0031	LMWE	00000000000014260303			20.151.201.210.500
	7000000012	 0032	LMWE	00000000000014260304			20.151.201.210.500
	7000000012	 0033	LMWE	00000000000014260305			20.151.201.210.500
	7000000013	 0001	LMWE	00000000000014260090			20.151.201.210.549
	7000000013	 0002	LMWE	00000000000014260091			20.151.201.210.549
	7000000013	 0003	LMWE	00000000000014260092			20.151.201.210.549
	7000000013	 0004	LMWE	00000000000014260093			20.151.201.210.549
	7000000013	 0005	LMWE	00000000000014260094			20.151.201.210.549
	7000000013	 0006	LMWE	00000000000014260095			20.151.201.210.549
