INDEX,CHNGID,RECORDTP,REQUID,WM_COUNT2,/BIC/G0WM_TU_N,CALWEEK,/BIC/GEWLSTAT,CALDAY,CALMONTH,CALYEAR,WEEKDAY1,WM_MATNR,WM_LICNUM,WM_VLTYP,WM_NLTYP,WM_VLPLA,/BIC/GEWVOND,/BIC/GEWVONZ,/BIC/GEWKPI,WM_NLENR,/BIC/GEWZEITD,/BIC/GEWBISD,/BIC/GEWBISZ,/BIC/GEWERSTAT,RECORD
41,0,0,,1,000000200000000025,201546,ST70,2015-11-12,201511,2015,4,06E103023BB,LKW-001,,,,,00:00:00,KPI51,00000000000013939387,0,,00:00:00,3,41
42,0,0,,1,000000200000000089,201548,,2015-11-25,201511,2015,3,06F141015,LKW001,,,,2015-11-13,09:59:46,KPI11,00000000000013939127,20151125131038,2015-11-25,14:10:38,,42
43,0,0,,1,000000200000000089,201546,,2015-11-13,201511,2015,5,06F141015,LKW001,,,,2015-11-13,09:59:46,KPI3,00000000000013939127,20151113093621,2015-11-13,10:36:21,,43
44,0,0,,1,000000200000000089,201548,,2015-11-24,201511,2015,2,06F141015,LKW001,,,,2015-11-13,10:36:21,KPI4,00000000000013939127,20151124140453,2015-11-24,15:04:53,,44
45,0,0,,1,000000200000000089,201548,,2015-11-24,201511,2015,2,06F141015,LKW001,,,,2015-11-24,15:04:53,KPI5,00000000000013939127,20151124140455,2015-11-24,15:04:55,,45
46,0,0,,1,000000200000000089,201548,,2015-11-25,201511,2015,3,06F141015,LKW001,,,,2015-11-25,13:55:30,KPI6,00000000000013939127,20151125125631,2015-11-25,13:55:30,,46
47,0,0,,1,000000200000000089,201548,,2015-11-25,201511,2015,3,06F141015,LKW001,,,,2015-11-25,13:55:30,KPI7,00000000000013939127,20151125130954,2015-11-25,14:09:54,,47
48,0,0,,1,000000200000000089,201548,,2015-11-25,201511,2015,3,06F141015,LKW001,,,,2015-11-25,13:55:30,KPI9,00000000000013939127,20151125131038,2015-11-25,14:10:38,,48
49,0,0,,1,000000200000000089,201546,ST80,2015-11-13,201511,2015,5,06F141015,LKW001,,,,,00:00:00,KPI51,00000000000013939127,0,,00:00:00,3,49
50,0,0,,1,000000200000000063,201548,,2015-11-25,201511,2015,3,06F141015,HET-006,,,,2015-11-13,10:47:26,KPI11,00000000000013939129,20151125131038,2015-11-25,14:10:38,,50
51,0,0,,1,000000200000000063,201547,,2015-11-16,201511,2015,1,06F141015,HET-006,,,,2015-11-13,10:47:26,KPI3,00000000000013939129,20151116073437,2015-11-16,08:34:37,,51
52,0,0,,1,000000200000000063,201547,,2015-11-16,201511,2015,1,06F141015,HET-006,,,,2015-11-16,08:34:37,KPI4,00000000000013939129,20151116073454,2015-11-16,08:34:54,,52
53,0,0,,1,000000200000000063,201547,,2015-11-16,201511,2015,1,06F141015,HET-006,,,,2015-11-16,08:34:54,KPI5,00000000000013939129,20151116073456,2015-11-16,08:34:56,,53
54,0,0,,1,000000200000000063,201548,,2015-11-25,201511,2015,3,06F141015,HET-006,,,,2015-11-25,13:54:44,KPI7,00000000000013939129,20151125130937,2015-11-25,14:09:37,,54
55,0,0,,1,000000200000000063,201548,,2015-11-25,201511,2015,3,06F141015,HET-006,,,,2015-11-25,13:54:45,KPI9,00000000000013939129,20151125131038,2015-11-25,14:10:38,,55
56,0,0,,1,000000200000000063,201546,ST80,2015-11-13,201511,2015,5,06F141015,HET-006,,,,,00:00:00,KPI51,00000000000013939129,0,,00:00:00,3,56
57,0,0,,1,000000200000000016,201548,,2015-11-25,201511,2015,3,06F141015,,,,,2015-11-17,13:49:10,KPI11,00000000000013939143,20151125131038,2015-11-25,14:10:38,,57
58,0,0,,1,000000200000000016,201547,,2015-11-17,201511,2015,2,06F141015,,,,,2015-11-17,13:49:10,KPI3,00000000000013939143,20151117141100,2015-11-17,15:11:00,,58
59,0,0,,1,000000200000000016,201547,,2015-11-19,201511,2015,4,06F141015,,,,,2015-11-17,15:11:00,KPI4,00000000000013939143,20151119073119,2015-11-19,08:31:19,,59
60,0,0,,1,000000200000000016,201547,,2015-11-19,201511,2015,4,06F141015,,,,,2015-11-19,08:31:19,KPI5,00000000000013939143,20151119073127,2015-11-19,08:31:27,,60
61,0,0,,1,000000200000000016,201548,,2015-11-25,201511,2015,3,06F141015,,,,,2015-11-25,13:55:13,KPI7,00000000000013939143,20151125130949,2015-11-25,14:09:49,,61
62,0,0,,1,000000200000000016,201548,,2015-11-25,201511,2015,3,06F141015,,,,,2015-11-25,13:55:13,KPI9,00000000000013939143,20151125131038,2015-11-25,14:10:38,,62
